Category,Neighbourhood Information,Population,Population,"Families, households and marital status",Income,Population,Population,Population,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Population and dwellings,Household and dwelling characteristics,Income of households in 2015,Age characteristics,Age characteristics,Age characteristics,Income of individuals in 2015,Income of economic families in 2015,Income of economic families in 2015,Low income in 2015
Characteristic,Neighbourhood Name,"Population, 2016",Population density per square kilometre, Average household size,  Average after-tax income of households in 2015 ($),Youth (0-24 years),Working Age (25-54 years),Seniors (55+ years),  Number of employment income recipients aged 15 years and over in private households - 100% data,  In the bottom half of the distribution,  In the top half of the distribution,"In low income based on the Low-income cut-offs, after tax (LICO-AT)"
114,Lambton Baby Point,"7,985","4,697",2.56,"214,945","2,600","3,310","2,215","4,450","3,170","4,815","1,205"
115,Mount Dennis,"13,593","6,442",2.56,"164,344","4,210","5,930","3,710","7,385","9,370","3,900","2,805"
116,Steeles,"24,623","5,436",3.11,"363,045","5,835","9,500","10,225","12,535","15,580","8,690","4,825"
117,L'Amoreaux,"43,993","6,144",2.89,"529,383","11,850","17,210","16,265","22,860","28,220","15,270","8,480"
118,Tam O'Shanter-Sullivan,"27,446","5,073",2.69,"475,647","7,110","10,675","10,890","14,040","17,010","10,010","5,150"
119,Wexford/Maryvale,"27,917","2,724",2.73,"336,503","7,865","11,380","9,560","15,525","16,270","11,285","4,240"
120,Clairlea-Birchmount,"26,984","3,632",2.84,"350,777","8,060","11,940","7,650","14,930","15,085","11,215","4,250"
121,Oakridge,"13,845","7,444",2.57,"134,303","4,545","6,050","3,505","6,255","10,855","2,755","4,760"
122,Birchcliffe-Cliffside,"22,291","3,765",2.36,"369,161","5,785","9,075","8,060","12,915","9,605","12,080","2,790"
123,Cliffcrest,"15,935","2,273",2.68,"248,846","4,720","6,070","5,510","8,830","7,640","8,160","2,265"
124,Kennedy Park,"17,123","4,770",2.6,"229,390","4,950","7,120","5,390","8,990","11,575","5,530","3,780"
125,Ionview,"13,641","7,031",2.63,"169,046","3,955","6,050","3,855","7,350","9,630","3,990","2,530"
126,Dorset Park,"25,003","4,146",2.78,"251,476","7,405","10,485","7,900","13,335","16,525","7,850","4,150"
127,Bendale,"29,960","4,011",2.7,"326,482","9,155","12,050","9,685","15,670","18,300","10,800","5,655"
128,Agincourt South-Malvern West,"23,757","3,034",2.88,"278,390","6,435","9,965","7,925","13,035","15,205","8,265","4,400"
129,Agincourt North,"29,113","3,929",3.16,"427,037","7,545","11,305","11,200","15,335","18,535","10,280","5,035"
130,Milliken,"26,572","2,830",3.39,"525,507","6,870","10,565","10,025","13,845","17,770","8,280","5,525"
131,Rouge,"46,496","1,260",3.44,"729,154","14,660","18,510","14,000","26,940","21,300","24,765","3,590"
132,Malvern,"43,794","4,948",3.26,"533,202","14,530","17,865","11,870","23,615","29,170","14,585","6,755"
133,Centennial Scarborough,"13,362","2,479",3.05,"215,135","4,000","5,030","4,500","7,985","3,765","9,580",705
134,Highland Creek,"12,494","2,403",3.37,"196,620","3,470","4,620","4,605","7,400","4,845","7,620","1,235"
135,Morningside,"17,455","3,041",2.92,"272,837","5,570","6,840","5,405","9,360","10,780","6,375","3,275"
136,West Hill,"27,392","2,856",2.7,"316,750","8,585","10,765","8,650","13,960","17,125","9,835","5,610"
137,Woburn,"53,485","4,345",2.87,"629,030","17,285","21,945","15,385","26,880","36,245","16,750","11,880"
138,Eglinton East,"22,776","7,051",2.81,"343,031","7,310","9,180","6,890","11,565","15,885","6,375","4,550"
139,Scarborough Village,"16,724","5,395",2.77,"185,967","5,725","6,685","4,750","8,045","11,980","4,460","4,225"
140,Guildwood,"9,917","2,673",2.42,"177,062","2,360","3,370","4,730","5,550","3,410","6,245",650
